id,Algorithm,Environment,Total reward
3,UMDAc,LunarLanderContinuous-v2,121.33991673231925
3,UMDAc,LunarLanderContinuous-v2,18.328478029506385
3,UMDAc,LunarLanderContinuous-v2,127.17746828742645
3,UMDAc,LunarLanderContinuous-v2,-5.265335181329178
3,UMDAc,LunarLanderContinuous-v2,24.754849257518952
3,UMDAc,LunarLanderContinuous-v2,264.6285971896259
3,UMDAc,LunarLanderContinuous-v2,-23.03973979854561
3,UMDAc,LunarLanderContinuous-v2,-15.739379547538576
3,UMDAc,LunarLanderContinuous-v2,49.219380571781016
3,UMDAc,LunarLanderContinuous-v2,-26.81711228600247
3,UMDAc,LunarLanderContinuous-v2,296.95723159599606
3,UMDAc,LunarLanderContinuous-v2,223.24527205303104
3,UMDAc,LunarLanderContinuous-v2,306.51639243741556
3,UMDAc,LunarLanderContinuous-v2,3.289563176488656
3,UMDAc,LunarLanderContinuous-v2,-2.2612837887639756
3,UMDAc,LunarLanderContinuous-v2,10.029373668501208
3,UMDAc,LunarLanderContinuous-v2,185.24795284053494
3,UMDAc,LunarLanderContinuous-v2,-53.35180728998819
3,UMDAc,LunarLanderContinuous-v2,255.8798322467041
3,UMDAc,LunarLanderContinuous-v2,297.2288947409761
3,UMDAc,LunarLanderContinuous-v2,135.77270992066326
3,UMDAc,LunarLanderContinuous-v2,279.05135612793515
3,UMDAc,LunarLanderContinuous-v2,198.1634407172445
3,UMDAc,LunarLanderContinuous-v2,-46.25879370845737
3,UMDAc,LunarLanderContinuous-v2,34.74606144945743
3,UMDAc,LunarLanderContinuous-v2,243.62365705930154
3,UMDAc,LunarLanderContinuous-v2,87.22598008194907
3,UMDAc,LunarLanderContinuous-v2,311.9935400482734
3,UMDAc,LunarLanderContinuous-v2,47.73695998354208
3,UMDAc,LunarLanderContinuous-v2,104.62532969295344
3,UMDAc,LunarLanderContinuous-v2,-42.4445452705755
3,UMDAc,LunarLanderContinuous-v2,210.2100724463317
3,UMDAc,LunarLanderContinuous-v2,217.16245867134555
3,UMDAc,LunarLanderContinuous-v2,203.09294935422594
3,UMDAc,LunarLanderContinuous-v2,87.77941924358431
3,UMDAc,LunarLanderContinuous-v2,187.15809507234658
3,UMDAc,LunarLanderContinuous-v2,176.62818731277503
3,UMDAc,LunarLanderContinuous-v2,298.8565650347441
3,UMDAc,LunarLanderContinuous-v2,293.0516531344932
3,UMDAc,LunarLanderContinuous-v2,223.76915303474107
3,UMDAc,LunarLanderContinuous-v2,-13.760719140515931
3,UMDAc,LunarLanderContinuous-v2,298.4504122209293
3,UMDAc,LunarLanderContinuous-v2,190.2420308853775
3,UMDAc,LunarLanderContinuous-v2,242.6702049925356
3,UMDAc,LunarLanderContinuous-v2,300.10556749147946
3,UMDAc,LunarLanderContinuous-v2,254.84072328049197
